datatime,package,pid,pss,java_heap,native_heap,system
2024-09-21 18-47-39,com.camelgames.aoz.debuglz4,10797,1431.69,13.62,290.09,13.98
2024-09-21 18-47-39,com.camelgames.aoz.debuglz4,10797,1432.29,13.62,290.7,13.98
2024-09-21 18-47-39,com.camelgames.aoz.debuglz4,10797,1432.93,13.62,291.34,13.98
2024-09-21 18-47-40,com.camelgames.aoz.debuglz4,10797,1433.58,13.62,291.98,13.98
2024-09-21 18-47-40,com.camelgames.aoz.debuglz4,10797,1434.22,13.62,292.62,13.98
2024-09-21 18-47-41,com.camelgames.aoz.debuglz4,10797,1434.83,13.62,293.23,13.98
2024-09-21 18-47-41,com.camelgames.aoz.debuglz4,10797,1435.47,13.62,293.88,13.98
2024-09-21 18-47-42,com.camelgames.aoz.debuglz4,10797,1436.08,13.62,294.48,13.98
2024-09-21 18-47-42,com.camelgames.aoz.debuglz4,10797,1436.68,13.62,295.09,13.98
2024-09-21 18-47-43,com.camelgames.aoz.debuglz4,10797,1437.45,13.62,295.85,13.98
2024-09-21 18-47-43,com.camelgames.aoz.debuglz4,10797,1438.08,13.62,296.48,13.98
2024-09-21 18-47-44,com.camelgames.aoz.debuglz4,10797,1438.88,13.62,297.29,13.98
2024-09-21 18-47-44,com.camelgames.aoz.debuglz4,10797,1439.57,13.62,297.97,13.98
2024-09-21 18-47-45,com.camelgames.aoz.debuglz4,10797,1440.38,13.62,298.79,13.98
2024-09-21 18-47-45,com.camelgames.aoz.debuglz4,10797,1441.63,13.62,300.03,13.98
2024-09-21 18-47-45,com.camelgames.aoz.debuglz4,10797,1441.99,13.62,300.4,13.98
2024-09-21 18-47-46,com.camelgames.aoz.debuglz4,10797,1438.31,13.62,296.65,13.98
2024-09-21 18-47-46,com.camelgames.aoz.debuglz4,10797,1432.61,13.62,291.01,13.98
2024-09-21 18-47-47,com.camelgames.aoz.debuglz4,10797,1430.11,13.62,288.51,13.98
2024-09-21 18-47-47,com.camelgames.aoz.debuglz4,10797,1430.11,13.62,288.51,13.98
2024-09-21 18-47-48,com.camelgames.aoz.debuglz4,10797,1430.1,13.62,288.51,13.98
2024-09-21 18-47-48,com.camelgames.aoz.debuglz4,10797,1430.1,13.62,288.51,13.98
2024-09-21 18-47-49,com.camelgames.aoz.debuglz4,10797,1430.11,13.62,288.51,13.98
2024-09-21 18-47-49,com.camelgames.aoz.debuglz4,10797,1430.1,13.62,288.51,13.98
2024-09-21 18-47-49,com.camelgames.aoz.debuglz4,10797,1430.1,13.62,288.51,13.98
2024-09-21 18-47-50,com.camelgames.aoz.debuglz4,10797,1430.1,13.62,288.51,13.98
2024-09-21 18-47-50,com.camelgames.aoz.debuglz4,10797,1430.11,13.62,288.51,13.98
2024-09-21 18-47-51,com.camelgames.aoz.debuglz4,10797,1430.1,13.62,288.51,13.98
2024-09-21 18-47-51,com.camelgames.aoz.debuglz4,10797,1430.1,13.62,288.51,13.98
2024-09-21 18-47-52,com.camelgames.aoz.debuglz4,10797,1430.1,13.62,288.51,13.98
2024-09-21 18-47-52,com.camelgames.aoz.debuglz4,10797,1430.1,13.62,288.51,13.98
2024-09-21 18-47-53,com.camelgames.aoz.debuglz4,10797,1430.11,13.62,288.51,13.98
